�ڵ�,����,������Ķ�,�ӽ����Ķ�,�������Ķ�
462,滚烫的爱 ,467,1/2408,4962
463,独家新闻 ,376,1/2436,3934
464,数码宝贝大冒险tri. 第3章：告白 ,24,1/2616,1094
465,爱哭鬼皮埃罗的婚礼 ,153,1/2340,8645
466,暗金丑岛君3 ,412,1/2222,21431
467,真田十勇士 真人版 ,102,1/2414,2741
468,声之形 ,618,1/2312,21315
469,跨越栅栏 ,291,1/2332,13243
470,怒 ,584,1/2365,16190
471,四月是你的谎言 ,244,1/2312,12743
472,苦中带甜的滋味 ,154,1/2346,9340
473,谁的木琴 ,105,1/2415,2831
474,永远的托词 ,409,1/2361,11251
475,反情色 ,209,1/2395,7259
476,愚行录 ,325,1/2359,9524
477,明明不喜欢 ,222,1/2375,8805
478,异邦警察 电影版 ,150,1/2363,9111
479,后妻业之女 ,204,1/2342,12576
480,你的名字。 ,900,1/2330,32334
481,恋妻家宫本 ,114,1/2397,7672
482,青空呐喊 ,178,1/2360,10664
483,秘密 ,377,1/2363,10764
484,花芯 ,478,1/2203,29159
485,黑猫鲁道夫 ,133,1/2406,6063
486,我被爸爸绑架了 ,205,1/2365,9018
487,新哥斯拉 ,678,1/2235,31791
488,航海王之黄金城 ,371,1/2352,12414
489,加速世界：无限超频 ,3,1/3406,0
490,屋顶的散步者 ,185,1/2368,10271
491,热血街区电影版 ,125,1/2371,8672
492,精灵宝可梦：波尔凯尼恩与机巧的玛机雅娜 ,1,1/3488,0
493,最终幻想15：王者之剑 ,523,1/2296,14593
494,森山中教习所 ,155,1/2336,9191
495,全员单恋 ,260,1/2340,12938
496,人狼游戏：越狱 ,305,1/2164,27357
497,早死早投胎之地狱摇滚篇 ,428,1/2241,25131
498,日本最坏的家伙们 ,195,1/2349,11432
499,讨厌的女人 ,389,1/2162,29873
500,葛城事件 ,221,1/2333,13120
501,二重生活 ,359,1/2308,17137
502,濑户内海 ,392,1/2345,13400
503,昭和64年 后篇 ,415,1/2194,24828
504,伤心往事 ,205,1/2276,17046
505,夏美的萤火虫 ,242,1/2285,16610
506,植物图鉴 ,224,1/2394,7534
507,星笼之海 ,500,1/2161,33643
508,高台家的成员 ,384,1/2213,32516
509,团地 ,250,1/2321,14242
510,狼少女与黑王子 ,376,1/2187,24037
511,白昼之雨 ,520,1/2176,33580
512,错乱的一代 ,310,1/2345,11971
513,比海更深 ,629,1/2330,21654
514,假如猫从世界上消失了 ,564,1/2263,21700
515,临渊而立 ,362,1/2367,10898
516,殿下，给点利息 ,524,1/2116,47107
517,昭和64年 前篇 ,425,1/2209,22996
518,英雄迷的生活 ,187,1/2347,12040
519,花牌情缘 下之句 ,344,1/2238,25140
520,火星异种 ,273,1/2362,10327
521,读取记忆碎片的男人 ,245,1/2355,11383
522,请叫我英雄 ,717,1/2249,34828
523,游戏王：次元的黑暗面 ,24,1/2663,1011
524,告白实行委员会：从很久以前就喜欢你了 ,3,1/3323,4
525,太阳 ,331,1/2255,22092
526,名侦探柯南：纯黑的恶梦 ,487,1/2304,13170
527,蜡笔小新：梦境世界大突击 ,263,1/2438,3650
528,莫西干回到故乡 ,337,1/2296,16198
529,毒虫 ,338,1/2331,13349
530,窥视之眸 ,98,1/2441,5379
531,奇怪的她 ,625,1/2247,38247
532,蜜之哀伤 ,136,1/2381,8994
533,瑞普·凡·温克尔的新娘 ,486,1/2290,22505
534,无伴奏 ,294,1/2329,12278
535,暗杀教室：毕业篇 ,268,1/2348,11125
536,花牌情缘 上之句 ,192,1/2293,15620
537,只有我不在的街道 ,107,1/2408,5559
538,家族之苦 ,470,1/2308,20066
539,数码宝贝大冒险tri. 第2章：决意 ,21,1/2662,297
540,珠峰：神之山岭 ,1,1/3510,0
541,哆啦A梦：新·大雄的日本诞生 ,298,1/2420,4499
542,星丘车站失物招领 ,22,1/2612,475
543,水手服与机关枪：毕业 ,387,1/2100,46082
544,成年人的爱情故事 ,80,1/2493,3544
545,我才不会对黑崎君说的话言听计从 ,78,1/2528,2464
546,当女人沉睡时 ,440,1/2159,33420
547,同级生 ,365,1/2221,17601
548,毛骨悚然 ,639,1/2176,40807
549,荔枝光俱乐部 ,12,1/2798,166
550,亡国的阿基德最终章：致我所爱 ,0,1/0,0
551,头文字D新剧场版：梦现 ,355,1/2240,15468
552,为什么猫都叫不来 ,278,1/2281,17391
553,演员龟冈拓次 ,178,1/2308,13213
554,信长协奏曲 电影版 ,184,1/2340,9101
555,像“像那样的东西”那样的东西 ,116,1/2386,4627
556,粉与灰 ,154,1/2369,6325
557,玻璃之花与坏掉的世界 ,16,1/3162,118
558,人生的约定 ,45,1/2477,1962
559,伤物语1：铁血篇 ,134,1/2441,4669
560,少爷 ,206,1/2281,16846
561,红鳉鱼 ,332,1/2294,16520
562,山中的汤姆先生 ,14,1/2660,577
563,樱桃小丸子：来自意大利的少年 ,324,1/2411,7466
564,小花的味噌汤 ,254,1/2320,12672
565,橘色奇迹 ,303,1/2278,18258
566,如果和母亲一起生活 ,331,1/2293,17830
567,欢乐时光 ,206,1/2366,9187
568,人狼游戏：疯狂的狐狸 ,0,1/0,0
569,High☆Speed! -Free! Starting Days- ,5,1/3275,11
570,杉原千亩 ,24,1/2590,1040
571,和谐 ,380,1/2258,16089
572,亚人1：冲动 ,15,1/2912,191
573,雨树之国 ,6,1/3041,32
574,剧场灵 ,24,1/2748,323
575,恋人们 ,494,1/2226,26098
576,藤田嗣治 ,100,1/2512,2452
577,蚱蜢 ,214,1/2377,8978
578,剧场版MOZU ,322,1/2189,22796
579,为你取名的那一天 ,173,1/2339,13039
580,俺物语 ,211,1/2314,12488
581,残秽，不可以住的房间 ,369,1/2182,24809
582,下众之爱 ,370,1/2359,10511
583,再见 ,167,1/2349,9747
584,银河街道 ,57,1/2473,2338
585,我是和尚 ,389,1/2100,46050
586,图书馆战争：记忆之书 ,114,1/2370,5247
587,前辈和她 ,151,1/2352,7628
588,探险队的荣光 ,305,1/2163,27394
589,老师与流浪猫 ,112,1/2374,8598
590,图书馆战争2：最后的任务 ,195,1/2325,10700
591,食梦者 ,318,1/2333,13207
592,罪的留白 ,313,1/2162,28287
593,尸者帝国 ,328,1/2218,17855
594,心灵想要大声呼喊 ,226,1/2481,1701
595,猎杀星期一 ,455,1/2455,3590
596,伪婚男女 ,271,1/2314,15140
597,难以置信 ,93,1/2513,2768
598,再见时光 ,233,1/2456,2854
599,绝命时钟2:22 ,302,1/2423,5439
600,哀乐女子天团 ,353,1/2392,6014
601,缉枪 ,409,1/2395,6234
602,我是马布里 ,306,1/2470,2395
603,死于独特 ,192,1/2435,4082
604,绣春刀II：修罗战场 ,759,1/2428,8506
605,明月几时有 ,541,1/2469,3741
606,一锤定音 ,253,1/2428,4494
607,阿唐奇遇 ,341,1/2451,3084
608,六人晚餐 ,507,1/2358,5665
609,忠爱无言 ,438,1/2445,3697
610,赶尽杀绝 ,93,1/2512,2862
611,代立军 ,370,1/2379,4758
612,神奇女侠 ,812,1/2450,8752
613,蜘蛛侠：英雄归来 ,641,1/2443,4804
614,变形金刚5：最后的骑士 ,787,1/2467,6343
615,亨利之书 ,4,1/3206,4
616,新木乃伊 ,680,1/2388,8626
617,加勒比海盗5：死无对证 ,721,1/2430,7934
618,双面情人 ,100,1/2452,2722
619,牡丹花下 ,47,1/2509,1387
620,绑架 ,191,1/2392,8102
621,每分钟120击 ,85,1/2431,3975
622,欺诈圣手 ,379,1/2412,5070
623,末日重启 ,340,1/2436,3475
624,勒索风云 ,235,1/2479,2590
625,亚瑟王：斗兽争霸 ,556,1/2475,3858
626,生死之墙 ,468,1/2235,19825
627,青禾男高 ,426,1/2399,8648
628,铁甲战神 ,179,1/2556,1412
629,真实 ,459,1/2500,2068
630,逆时营救 ,584,1/2466,4519
631,荡寇风云 ,590,1/2279,19950
632,之后 ,404,1/2502,1933
633,恶女 ,411,1/2447,4210
634,玉子 ,548,1/2516,2375
635,小情书 ,294,1/2517,1174
636,不汗党 ,289,1/2495,2174
637,毒。诫 ,464,1/2362,12542
638,梅根·利维 ,251,1/2369,9460
639,同囚 ,236,1/2321,15404
640,巴霍巴利王(下)：终结 ,550,1/2228,25894
641,圆圈 ,382,1/2327,15451
642,特别市民 ,266,1/2459,2883
643,那些爱人 ,367,1/2448,2987
644,血狼犬 ,336,1/2380,7352
645,蚯蚓 ,476,1/2504,2880
646,银河护卫队2 ,735,1/2396,10754
647,天才少女 ,554,1/2497,2303
648,速度与激情8 ,720,1/2447,6944
649,空难余波 ,268,1/2328,14562
650,非凡任务 ,659,1/2311,24231
651,绑架者 ,511,1/2379,14122
652,攻壳机动队 ,733,1/2321,25277
653,一条龙 ,100,1/2611,427
654,超凡战队 ,511,1/2297,16049
655,叛狱无间 ,339,1/2482,2347
656,美女与野兽 ,700,1/2507,3908
